Date,DayOfWeek,BusCommuters,Rail,Total
01/01/2012,U,338458,277156,615614
01/02/2012,U,427028,300131,727159
01/03/2012,W,810076,600940,1411016
01/04/2012,W,839010,626372,1465382
01/05/2012,W,841665,652474,1494139
01/06/2012,W,870446,666379,1536825
01/07/2012,A,583725,390564,974289
01/08/2012,U,411272,275439,686711
01/09/2012,W,968136,683105,1651241
01/10/2012,W,1019667,698468,1718135
01/11/2012,W,1036505,709539,1746044
01/12/2012,W,950402,715474,1665876
01/13/2012,W,940512,692943,1633455
01/14/2012,A,557653,377455,935108
01/15/2012,U,402980,276691,679671
01/16/2012,W,639506,459803,1099309
01/17/2012,W,1016429,725950,1742379
01/18/2012,W,1017072,722473,1739545
01/19/2012,W,983178,711259,1694437
01/20/2012,W,826497,746064,1572561
01/21/2012,A,552163,394407,946570
01/22/2012,U,392633,273772,666405
01/23/2012,W,1010116,710762,1720878
01/24/2012,W,1050018,732063,1782081
01/25/2012,W,1051823,734192,1786015
01/26/2012,W,1052929,739012,1791941
01/27/2012,W,968530,720988,1689518
01/28/2012,A,621329,419586,1040915
01/29/2012,U,416383,293146,709529
01/30/2012,W,1023037,704317,1727354
01/31/2012,W,1059681,731360,1791041
02/01/2012,W,1111421,736252,1847673
02/02/2012,W,1081236,739698,1820934
02/03/2012,W,1014951,714336,1729287
02/04/2012,A,661534,418503,1080037
02/05/2012,U,462359,289438,751797
02/06/2012,W,1038157,699926,1738083
02/07/2012,W,1040979,721937,1762916
02/08/2012,W,1069324,738273,1807597
02/09/2012,W,1065885,741959,1807844
02/10/2012,W,982329,715473,1697802
02/11/2012,A,591333,399462,990795
02/12/2012,U,429977,285739,715716
02/13/2012,W,882797,653118,1535915
02/14/2012,W,1077348,738384,1815732
02/15/2012,W,1051929,726359,1778288
02/16/2012,W,1058911,736170,1795081
02/17/2012,W,1058544,731415,1789959
02/18/2012,A,666760,454131,1120891
02/19/2012,U,475445,322414,797859
02/20/2012,W,761004,543889,1304893
02/21/2012,W,1036038,726162,1762200
02/22/2012,W,1052160,732150,1784310
02/23/2012,W,1033787,734839,1768626
02/24/2012,W,989267,712507,1701774
02/25/2012,A,630649,417134,1047783
02/26/2012,U,448512,298409,746921
02/27/2012,W,1023956,703435,1727391
02/28/2012,W,1039341,720589,1759930
02/29/2012,W,1055847,736007,1791854
03/01/2012,W,1075076,739664,1814740
03/02/2012,W,1031215,705878,1737093
03/03/2012,A,624519,416704,1041223
03/04/2012,U,441120,292334,733454
03/05/2012,W,913762,651903,1565665
03/06/2012,W,1084176,744478,1828654
03/07/2012,W,1060619,736849,1797468
03/08/2012,W,1049305,735123,1784428
03/09/2012,W,1037776,718371,1756147
03/10/2012,A,681263,444574,1125837
03/11/2012,U,482075,316828,798903
03/12/2012,W,1015965,715585,1731550
03/13/2012,W,1071861,744918,1816779
03/14/2012,W,1087551,762671,1850222
03/15/2012,W,1061219,763525,1824744
03/16/2012,W,1044828,774035,1818863
03/17/2012,A,755574,708351,1463925
03/18/2012,U,504213,359041,863254
03/19/2012,W,1015401,707467,1722868
03/20/2012,W,1043797,718050,1761847
03/21/2012,W,1050000,723631,1773631
03/22/2012,W,1016361,717170,1733531
03/23/2012,W,945472,685518,1630990
03/24/2012,A,641412,430070,1071482
03/25/2012,U,470355,355696,826051
03/26/2012,W,996549,700972,1697521
03/27/2012,W,1024173,723040,1747213
03/28/2012,W,1029545,735639,1765184
03/29/2012,W,1013994,734424,1748418
03/30/2012,W,1001257,709407,1710664
03/31/2012,A,646169,440893,1087062
04/01/2012,U,477703,321629,799332
04/02/2012,W,935073,696533,1631606
04/03/2012,W,972756,720709,1693465
04/04/2012,W,954947,724726,1679673
04/05/2012,W,933666,750000,1683666
04/06/2012,W,861696,642047,1503743
04/07/2012,A,637466,434835,1072301
04/08/2012,U,429398,289618,719016
04/09/2012,W,1010279,727154,1737433
04/10/2012,W,1038779,751834,1790613
04/11/2012,W,1053786,760911,1814697
04/12/2012,W,1050150,775089,1825239
04/13/2012,W,958166,741802,1699968
04/14/2012,A,644498,470545,1115043
04/15/2012,U,443006,320025,763031
04/16/2012,W,996333,713598,1709931
04/17/2012,W,1056910,744763,1801673
04/18/2012,W,1031225,736936,1768161
04/19/2012,W,989282,743350,1732632
04/20/2012,W,994547,737187,1731734
04/21/2012,A,656064,471715,1127779
04/22/2012,U,448386,333024,781410
04/23/2012,W,1031544,739667,1771211
04/24/2012,W,1003275,750511,1753786
04/25/2012,W,978891,740777,1719668
04/26/2012,W,1044469,760338,1804807
04/27/2012,W,1026691,745495,1772186
04/28/2012,A,592513,425418,1017931
04/29/2012,U,445246,322436,767682
04/30/2012,W,977200,703630,1680830
05/01/2012,W,1073425,743154,1816579
05/02/2012,W,1060720,754536,1815256
05/03/2012,W,1086032,766616,1852648
05/04/2012,W,1054307,778105,1832412
05/05/2012,A,666613,497814,1164427
05/06/2012,U,434634,343213,777847
05/07/2012,W,1000335,731509,1731844
