Date,DayOfWeek,BusCommuters,Rail,Total
01/01/2003,U,325478,169985,495463
01/02/2003,W,757781,484840,1242621
01/03/2003,W,861580,515985,1377565
01/04/2003,A,570941,255217,826158
01/05/2003,U,377813,177159,554972
01/06/2003,W,982617,574868,1557485
01/07/2003,W,982542,580676,1563218
01/08/2003,W,1011812,592758,1604570
01/09/2003,W,979678,586435,1566113
01/10/2003,W,963808,567691,1531499
01/11/2003,A,506478,250051,756529
01/12/2003,U,346918,171467,518385
01/13/2003,W,973653,585781,1559434
01/14/2003,W,940805,594400,1535205
01/15/2003,W,928578,583104,1511682
01/16/2003,W,945280,591915,1537195
01/17/2003,W,973358,584772,1558130
01/18/2003,A,512435,261058,773493
01/19/2003,U,327279,172937,500216
01/20/2003,W,604089,375958,980047
01/21/2003,W,954156,590827,1544983
01/22/2003,W,912033,572491,1484524
01/23/2003,W,822317,541015,1363332
01/24/2003,W,893501,546353,1439854
01/25/2003,A,547944,259287,807231
01/26/2003,U,335046,168783,503829
01/27/2003,W,922033,564295,1486328
01/28/2003,W,952120,598146,1550266
01/29/2003,W,970605,594588,1565193
01/30/2003,W,993731,601060,1594791
01/31/2003,W,929004,577555,1506559
02/01/2003,A,639705,291226,930931
02/02/2003,U,415598,192294,607892
02/03/2003,W,1039918,596186,1636104
02/04/2003,W,980582,597044,1577626
02/05/2003,W,961776,585552,1547328
02/06/2003,W,981973,596888,1578861
02/07/2003,W,953979,573249,1527228
02/08/2003,A,563430,270521,833951
02/09/2003,U,367964,180861,548825
02/10/2003,W,948507,584120,1532627
02/11/2003,W,928346,592292,1520638
02/12/2003,W,749254,523192,1272446
02/13/2003,W,978871,597819,1576690
02/14/2003,W,985806,594045,1579851
02/15/2003,A,543945,271823,815768
02/16/2003,U,365939,188276,554215
02/17/2003,W,709845,447938,1157783
02/18/2003,W,974450,604717,1579167
02/19/2003,W,982943,605097,1588040
02/20/2003,W,988095,611766,1599861
02/21/2003,W,1005940,601156,1607096
02/22/2003,A,529921,276538,806459
02/23/2003,U,377363,185905,563268
02/24/2003,W,908324,574013,1482337
02/25/2003,W,897857,572520,1470377
02/26/2003,W,939161,588630,1527791
02/27/2003,W,951569,599144,1550713
02/28/2003,W,1011530,597504,1609034
03/01/2003,A,610177,291264,901441
03/02/2003,U,347417,182200,529617
03/03/2003,W,822165,535306,1357471
03/04/2003,W,964967,606043,1571010
03/05/2003,W,868551,583929,1452480
03/06/2003,W,874641,573715,1448356
03/07/2003,W,980484,584273,1564757
03/08/2003,A,550093,274523,824616
03/09/2003,U,335884,177874,513758
03/10/2003,W,916661,573635,1490296
03/11/2003,W,971894,601034,1572928
03/12/2003,W,981590,604333,1585923
03/13/2003,W,978881,609896,1588777
03/14/2003,W,1009566,615377,1624943
03/15/2003,A,637081,381570,1018651
03/16/2003,U,429227,235438,664665
03/17/2003,W,976703,597982,1574685
03/18/2003,W,963349,596226,1559575
03/19/2003,W,938499,586881,1525380
03/20/2003,W,936654,594341,1530995
03/21/2003,W,967479,588655,1556134
03/22/2003,A,577660,292329,869989
03/23/2003,U,410745,215626,626371
03/24/2003,W,962889,584149,1547038
03/25/2003,W,973017,594589,1567606
03/26/2003,W,968581,594924,1563505
03/27/2003,W,969195,593676,1562871
03/28/2003,W,815984,552242,1368226
03/29/2003,A,555638,280361,835999
03/30/2003,U,372071,191109,563180
03/31/2003,W,973924,577834,1551758
04/01/2003,W,1028531,603564,1632095
04/02/2003,W,1020829,602855,1623684
04/03/2003,W,995062,592074,1587136
04/04/2003,W,912458,572837,1485295
04/05/2003,A,593273,293496,886769
04/06/2003,U,370275,188467,558742
04/07/2003,W,873605,565391,1438996
04/08/2003,W,947482,599769,1547251
04/09/2003,W,986992,611985,1598977
04/10/2003,W,1007977,624279,1632256
04/11/2003,W,912918,600667,1513585
04/12/2003,A,602670,321354,924024
04/13/2003,U,407540,219553,627093
04/14/2003,W,904517,593473,1497990
04/15/2003,W,894368,606461,1500829
04/16/2003,W,836328,578259,1414587
04/17/2003,W,815274,563613,1378887
04/18/2003,W,769997,482196,1252193
04/19/2003,A,562148,263464,825612
04/20/2003,U,368478,172399,540877
04/21/2003,W,925231,572442,1497673
04/22/2003,W,964240,617403,1581643
04/23/2003,W,923474,613127,1536601
04/24/2003,W,961316,620140,1581456
04/25/2003,W,979369,595103,1574472
04/26/2003,A,588057,300728,888785
04/27/2003,U,403462,210716,614178
04/28/2003,W,962103,582145,1544248
04/29/2003,W,958977,595629,1554606
04/30/2003,W,828642,567596,1396238
05/01/2003,W,971218,597161,1568379
05/02/2003,W,1039212,616460,1655672
05/03/2003,A,645503,335590,981093
05/04/2003,U,395799,214366,610165
05/05/2003,W,1006467,608082,1614549
05/06/2003,W,1007795,626276,1634071
05/07/2003,W,977279,610370,1587649
05/08/2003,W,984692,605164,1589856
05/09/2003,W,992211,616706,1608917
05/10/2003,A,577508,301857,879365
05/11/2003,U,322449,193398,515847
05/12/2003,W,956974,580553,1537527
05/13/2003,W,981698,602563,1584261
05/14/2003,W,911890,583198,1495088
05/15/2003,W,971525,598384,1569909
05/16/2003,W,999630,589910,1589540
05/17/2003,A,614484,304723,919207
05/18/2003,U,403043,207860,610903
05/19/2003,W,961806,579665,1541471
05/20/2003,W,966295,594508,1560803
05/21/2003,W,992696,592768,1585464
05/22/2003,W,967683,590893,1558576
05/23/2003,W,969112,575372,1544484
05/24/2003,A,591523,301068,892591
05/25/2003,U,408454,223466,631920
05/26/2003,U,380796,224023,604819
05/27/2003,W,961009,597804,1558813
05/28/2003,W,910537,586704,1497241
05/29/2003,W,961715,595331,1557046
05/30/2003,W,988281,613622,1601903
05/31/2003,A,575015,318134,893149
06/01/2003,U,422827,245291,668118
06/02/2003,W,978201,583126,1561327
06/03/2003,W,992041,610279,1602320
06/04/2003,W,997077,615414,1612491
06/05/2003,W,991907,622481,1614388
06/06/2003,W,962917,615632,1578549
06/07/2003,A,634650,354198,988848
06/08/2003,U,380953,229228,610181
06/09/2003,W,987516,590887,1578403
06/10/2003,W,940459,596552,1537011
